Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,anio,tension,valor
2024,1,1,1,0,17.2,1.02,0.078,0.64,0,0,0,0,0,9.7,0,0,0,0,0.268,61.16,133.5,0.95,0.29,880,1.5,359,1.5,2024.0,220.0,67.21
2024,1,1,2,0,16.6,1.02,0.08,0.64,0,0,0,0,0,9.7,0,0,0,0,0.268,63.85,134.4,0.95,0.29,879,1.5,353,2.1,2024.0,220.0,85.58
2024,1,1,3,0,16.2,1.04,0.083,0.64,0,0,0,0,0,9.7,0,0,0,0,0.267,65.59,130.79,0.95,0.29,879,1.4,356,2.3,2024.0,220.0,82.95
2024,1,1,4,0,16.0,1.06,0.083,0.64,0,0,0,0,0,9.6,0,0,0,0,0.267,65.8,123.52,0.95,0.29,879,1.4,6,1.9,2024.0,220.0,77.55
2024,1,1,5,0,15.9,1.07,0.081,0.64,0,0,0,0,0,9.4,0,0,0,0,0.266,65.28,113.79,0.95,0.29,879,1.4,13,1.2,2024.0,220.0,74.87
2024,1,1,6,0,15.8,1.07,0.082,0.64,0,0,0,0,0,9.2,0,0,0,0,0.265,64.84,102.54,0.95,0.29,879,1.4,19,0.7,2024.0,220.0,74.87
2024,1,1,7,0,16.7,1.08,0.083,0.64,0,0,0,0,0,9.0,0,0,0,0,0.265,60.46,89.88,0.95,0.29,879,1.3,29,1.0,2024.0,220.0,71.16
2024,1,1,8,0,19.5,1.11,0.079,0.64,57,604,188,0,0,8.7,57,604,0,188,0.264,49.65,77.46,0.95,0.29,880,1.3,12,0.8,2024.0,220.0,39.65
2024,1,1,9,0,22.7,1.13,0.074,0.64,82,830,442,0,0,7.5,82,830,0,442,0.263,37.62,64.29,0.95,0.29,880,1.3,299,1.5,2024.0,220.0,0.0
2024,1,1,10,0,25.2,1.16,0.071,0.64,97,936,688,0,0,6.6,97,936,0,688,0.262,30.48,50.84,0.95,0.29,880,1.3,266,2.7,2024.0,220.0,0.0
2024,1,1,11,0,27.4,1.17,0.07,0.64,107,993,898,0,0,6.0,107,993,0,898,0.261,25.63,37.22,0.95,0.29,879,1.3,263,3.8,2024.0,220.0,0.0
2024,1,1,12,0,29.2,1.18,0.069,0.64,114,1026,1055,0,0,5.5,114,1026,0,1055,0.259,22.29,23.48,0.95,0.29,879,1.3,265,4.8,2024.0,220.0,0.0
2024,1,1,13,0,30.1,1.18,0.07,0.64,119,1040,1145,0,0,5.4,119,1040,0,1145,0.257,20.98,9.69,0.96,0.29,879,1.3,265,5.5,2024.0,220.0,0.0
2024,1,1,14,0,30.3,1.17,0.072,0.64,121,1041,1159,0,0,5.6,121,1041,0,1159,0.255,21.04,4.22,0.96,0.29,878,1.3,263,6.0,2024.0,220.0,0.0
2024,1,1,15,0,30.0,1.15,0.075,0.64,120,1029,1099,0,0,5.9,120,1029,0,1099,0.253,21.89,18.0,0.96,0.29,878,1.3,261,6.1,2024.0,220.0,0.0
2024,1,1,16,0,29.2,1.12,0.076,0.64,115,1003,967,0,0,6.2,115,1003,0,967,0.25,23.45,31.77,0.96,0.29,878,1.3,258,5.9,2024.0,220.0,0.0
2024,1,1,17,0,28.1,1.1,0.076,0.64,105,954,774,0,0,6.5,105,954,0,774,0.248,25.47,45.45,0.96,0.29,877,1.4,256,5.6,2024.0,220.0,0.0
2024,1,1,18,0,26.6,1.1,0.081,0.64,92,867,539,0,0,6.8,92,867,0,539,0.248,28.36,58.98,0.95,0.29,877,1.4,254,5.2,2024.0,220.0,0.0
2024,1,1,19,0,24.7,1.08,0.08,0.64,70,709,286,0,0,7.3,70,709,0,286,0.249,32.87,72.28,0.95,0.29,878,1.4,254,4.7,2024.0,220.0,0.0
2024,1,1,20,0,22.0,1.06,0.08,0.64,31,313,57,0,0,8.2,31,313,0,57,0.251,41.28,85.17,0.95,0.29,878,1.4,259,4.0,2024.0,220.0,0.0
2024,1,1,21,0,19.9,1.03,0.081,0.64,0,0,0,0,0,9.4,0,0,0,0,0.253,50.68,97.8,0.95,0.29,879,1.4,263,3.0,2024.0,220.0,0.0
2024,1,1,22,0,18.6,1.01,0.084,0.64,0,0,0,0,0,10.0,0,0,0,0,0.254,57.29,109.5,0.95,0.29,880,1.4,267,1.9,2024.0,220.0,0.0
2024,1,1,23,0,18.1,1.01,0.084,0.64,0,0,0,0,0,10.2,0,0,0,0,0.255,59.75,119.93,0.95,0.29,880,1.4,305,1.9,2024.0,220.0,43.52
2024,1,1,24,0,17.7,1.03,0.088,0.64,0,0,0,0,0,10.1,0,0,0,0,0.256,61.17,128.33,0.95,0.29,880,1.4,6,2.1,2024.0,220.0,70.84
2024,1,2,1,0,17.3,1.03,0.091,0.64,0,0,0,0,0,10.1,0,0,0,0,0.258,62.56,133.55,0.95,0.29,879,1.4,15,2.3,2024.0,220.0,66.96
2024,1,2,2,0,16.8,1.03,0.092,0.64,0,0,0,0,0,10.1,0,0,0,0,0.259,64.78,134.49,0.95,0.29,878,1.4,2,2.2,2024.0,220.0,66.42
2024,1,2,3,0,16.3,1.04,0.099,0.64,0,0,0,0,0,10.2,0,0,0,0,0.259,67.35,130.91,0.95,0.29,878,1.3,349,2.0,2024.0,220.0,65.33
2024,1,2,4,0,16.0,1.04,0.104,0.64,0,0,0,0,0,10.3,0,0,0,0,0.26,68.85,123.65,0.95,0.29,878,1.3,3,1.7,2024.0,220.0,66.79
2024,1,2,5,0,15.7,1.04,0.101,0.64,0,0,0,0,0,10.1,0,0,0,0,0.262,69.56,113.93,0.95,0.29,878,1.3,35,1.5,2024.0,220.0,71.99
2024,1,2,6,0,15.7,1.05,0.102,0.64,0,0,0,0,0,9.9,0,0,0,0,0.263,68.39,102.67,0.95,0.29,878,1.3,46,1.2,2024.0,220.0,81.8
2024,1,2,7,0,16.5,1.06,0.101,0.64,0,0,0,0,0,9.7,0,0,0,0,0.263,64.04,89.99,0.95,0.29,878,1.3,40,1.5,2024.0,220.0,80.5
2024,1,2,8,0,19.0,1.07,0.098,0.64,61,566,183,0,0,9.6,61,566,0,183,0.263,54.32,77.59,0.95,0.29,878,1.3,347,1.5,2024.0,220.0,43.48
2024,1,2,9,0,21.8,1.1,0.098,0.64,91,796,435,0,0,9.0,91,796,0,435,0.264,44.03,64.42,0.95,0.29,878,1.3,284,1.6,2024.0,220.0,0.0
2024,1,2,10,0,24.4,1.12,0.098,0.64,110,906,681,0,0,8.3,110,906,0,681,0.263,35.86,50.96,0.96,0.29,878,1.3,270,2.4,2024.0,220.0,0.0
2024,1,2,11,0,26.7,1.14,0.094,0.64,121,971,893,0,0,7.6,121,971,0,893,0.262,29.79,37.33,0.96,0.29,878,1.3,260,3.7,2024.0,220.0,0.0
2024,1,2,12,0,28.5,1.15,0.088,0.64,126,1010,1051,0,0,7.3,126,1010,0,1051,0.262,26.27,23.59,0.96,0.29,878,1.3,256,4.8,2024.0,220.0,0.0
2024,1,2,13,0,29.3,1.14,0.089,0.64,131,1025,1141,0,0,7.3,131,1025,0,1141,0.261,25.16,9.79,0.96,0.29,877,1.3,255,5.5,2024.0,220.0,0.0
2024,1,2,14,0,29.4,1.13,0.093,0.64,134,1021,1153,0,0,7.6,134,1021,0,1153,0.26,25.55,4.1,0.96,0.29,877,1.4,255,5.9,2024.0,220.0,0.0
2024,1,2,15,0,28.8,1.1,0.096,0.64,133,1008,1092,0,0,8.0,133,1008,0,1092,0.259,27.08,17.89,0.96,0.29,877,1.4,253,6.1,2024.0,220.0,0.0
2024,1,2,16,0,28.0,1.06,0.096,0.64,126,981,962,0,0,8.2,126,981,0,962,0.259,28.72,31.67,0.96,0.29,877,1.4,251,6.0,2024.0,220.0,0.0
